Threshold,Accuracy,Precision,Recall,F1_Score,False_Positive_Rate,False_Negative_Rate,Predicted_Higher_Risk_Rate
0.55,0.8897674239210089,0.9336829117828501,0.5338624338624338,0.6793087971274686,0.010613615046650541,0.46613756613756613,0.12504339105951326
0.56,0.8895360049369383,0.9376169681846538,0.5301587301587302,0.6773321315908066,0.009873130275953991,0.46984126984126984,0.12365487715508929
0.5700000000000001,0.889420295444903,0.9414173228346456,0.5271604938271605,0.6758620689655173,0.009182011156637212,0.4728395061728395,0.12245921240405755
0.5800000000000001,0.8894588652755815,0.9464968152866242,0.5241622574955909,0.6746878547105561,0.008293429431801353,0.4758377425044092,0.12110926833031203
0.59,0.889420295444903,0.9496310555020854,0.5220458553791887,0.67372254466826,0.0077504072666238835,0.47795414462081126,0.12022216222470783
0.6,0.889073166968797,0.9515190691661279,0.5192239858906526,0.6718393427658603,0.007404847706965493,0.48077601410934745,0.11933505611910364
0.61,0.8889188876460833,0.9546936114732725,0.5165784832451499,0.6704051270313572,0.0068618255417880235,0.48342151675485007,0.11833224052146411
0.62,0.8886874686620125,0.9572930354796321,0.5139329805996473,0.6688088134037181,0.006417534679370094,0.48606701940035274,0.11740656458518148
0.63,0.8881474910325143,0.9586092715231788,0.5105820105820106,0.666283084004603,0.006170706422471244,0.4894179894179894,0.11648088864889883
0.64,0.8878775022177653,0.960960960960961,0.5079365079365079,0.6645898234683282,0.005775781211433085,0.49206349206349204,0.11559378254329464
0.65,0.8873760944189455,0.9626514131897712,0.5045855379188713,0.6621152510992826,0.005479587303154465,0.49541446208112877,0.11462953677633356
0.66,0.8871061056041964,0.9660210669384981,0.5014109347442681,0.6601648670614187,0.004936565137976996,0.49858906525573193,0.1135110116866587
0.67,0.8866818374667336,0.9681288553803975,0.4982363315696649,0.6578947368421053,0.004591005578318606,0.5017636684303352,0.11254676591969762
0.68,0.886373278821306,0.970954356846473,0.49523809523809526,0.6559215136650315,0.0041467147159006765,0.5047619047619047,0.11154395032205809
0.6900000000000001,0.8862575693292707,0.9725599166377215,0.49382716049382713,0.6550473739618669,0.0038998864590018265,0.5061728395061729,0.11104254252323832
0.7000000000000001,0.8859490106838431,0.9754644234139502,0.4908289241622575,0.6530564355273965,0.003455595596583897,0.5091710758377425,0.1100397269255988
0.7100000000000001,0.8857175916997725,0.9787760877255041,0.48800705467372135,0.6512886901259268,0.0029619390827861974,0.5119929453262787,0.10903691132795927
0.72,0.8850233347475605,0.9796646450231894,0.48430335097001764,0.6481765608403163,0.0028138421286468874,0.5156966490299824,0.10811123539167664
0.73,0.8847533459328114,0.9809899569583931,0.48236331569664903,0.646724994088437,0.002616379523127808,0.517636684303351,0.10753268793149998
0.74,0.88429050796467,0.9836956521739131,0.47883597883597884,0.6441281138790036,0.002221454312089648,0.5211640211640212,0.10645273267250356
0.75,0.883943379488564,0.9854067858445823,0.4763668430335097,0.6422541909404351,0.0019746260551907983,0.5236331569664903,0.10571990588961315
0.76,0.883943379488564,0.9875412238915353,0.47530864197530864,0.6417430646505536,0.0016784321469121785,0.5246913580246914,0.10525706792147183
0.77,0.8839048096578856,0.9893303899926417,0.4742504409171076,0.6411540295660467,0.0014316038900133287,0.5257495590828924,0.10483279978400895
0.78,0.8834034018590659,0.9900037023324695,0.47160493827160493,0.638872297216581,0.001332872587253789,0.528395061728395,0.10417711266247541
0.79,0.8830177035522814,0.9910614525139665,0.4693121693121693,0.636983842010772,0.001184775633114479,0.5306878306878307,0.10355999537162032
